cpc4,label
E21F,"SAFETY DEVICES, TRANSPORT, FILLING-UP, RESCUE, VENTILATION, OR DRAINING IN OR OF MINES OR TUNNELS"
F01B,"MACHINES OR ENGINES, IN GENERAL OR OF POSITIVE-DISPLACEMENT TYPE, e.g. STEAM ENGINES"
F01C,ROTARY-PISTON OR OSCILLATING-PISTON MACHINES OR ENGINES
F01D,"NON-POSITIVE DISPLACEMENT MACHINES OR ENGINES, e.g. STEAM TURBINES"
F01K,STEAM ENGINE PLANTS
F01L,CYCLICALLY OPERATING VALVES FOR MACHINES OR ENGINES
F01M,LUBRICATING OF MACHINES OR ENGINES IN GENERAL
F01N,GAS-FLOW SILENCERS OR EXHAUST APPARATUS FOR MACHINES OR ENGINES IN GENERAL
F01P,COOLING OF MACHINES OR ENGINES IN GENERAL
F02B,INTERNAL-COMBUSTION PISTON ENGINES
F02C,GAS-TURBINE PLANTS
F02D,CONTROLLING COMBUSTION ENGINES
F02F,"CYLINDERS, PISTONS OR CASINGS, FOR COMBUSTION ENGINES"
F02G,HOT GAS OR COMBUSTION-PRODUCT POSITIVE-DISPLACEMENT ENGINE PLANTS
F02K,JET-PROPULSION PLANTS
F02M,"SUPPLYING COMBUSTION ENGINES IN GENERAL, WITH COMBUSTIBLE MIXTURES"
F02N,STARTING OF COMBUSTION ENGINES
F02P,"IGNITION, OTHER THAN COMPRESSION IGNITION, FOR INTERNAL-COMBUSTION ENGINES"
F02W,INDEXING SCHEME RELATING TO TURBINES
F03B,MACHINES OR ENGINES FOR LIQUIDS
F03C,POSITIVE-DISPLACEMENT ENGINES DRIVEN BY LIQUIDS
F03D,WIND MOTORS
F03G,"SPRING, WEIGHT, INERTIA OR LIKE MOTORS"
F03H,"PRODUCING A REACTIVE PROPULSIVE THRUST, NOT OTHERWISE PROVIDED FOR"
F04B,POSITIVE DISPLACEMENT MACHINES FOR LIQUIDS
F04C,"ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS"
F04D,NON-POSITIVE DISPLACEMENT PUMPS
F04F,PUMPING OF FLUID BY DIRECT CONTACT OF ANOTHER FLUID OR BY USING INERTIA OF FLUID TO BE PUMPED
F05B,"MACHINES OR ENGINES OTHER THAN NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES, TO WIND MOTORS"
F05C,"MATERIALS, MATERIAL PROPERTIES OR MATERIAL CHARACTERISTICS FOR MACHINES, ENGINES OR PUMPS"
F05D,"NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES, GAS-TURBINES OR JET-PROPULSION PLANTS"
F15B,SYSTEMS ACTING BY MEANS OF FLUIDS IN GENERAL
F15C,FLUID-CIRCUIT ELEMENTS PREDOMINANTLY USED FOR COMPUTING OR CONTROL PURPOSES
F15D,"FLUID DYNAMICS, i.e. METHODS OR MEANS FOR INFLUENCING THE FLOW OF GASES OR LIQUIDS"
F16B,DEVICES FOR FASTENING OR SECURING CONSTRUCTIONAL ELEMENTS OR MACHINE PARTS TOGETHER
F16C,SHAFTS
F16D,COUPLINGS FOR TRANSMITTING ROTATION
F16F,SPRINGS
F16G,"BELTS, CABLES, OR ROPES, PREDOMINANTLY USED FOR DRIVING PURPOSES"
F16H,GEARING
F16J,PISTONS
F16K,VALVES
F16L,PIPES
F16M,"FRAMES, CASINGS, OR BEDS OF ENGINES OR OTHER MACHINES OR APPARATUS NOT SPECIFIC TO AN ENGINE, MACHINE"
F16N,LUBRICATING
F16P,SAFETY DEVICES IN GENERAL
F16S,CONSTRUCTIONAL ELEMENTS IN GENERAL
F16T,STEAM TRAPS OR LIKE APPARATUS FOR DRAINING-OFF LIQUIDS FROM ENCLOSURES CONTAINING GASES
F17B,GAS-HOLDERS OF VARIABLE CAPACITY
F17C,"VESSELS FOR CONTAINING OR STORING COMPRESSED, LIQUEFIED OR SOLIDIFIED GASES"
F17D,PIPE-LINE SYSTEMS
F21H,INCANDESCENT MANTLES
F21K,NON-ELECTRIC LIGHT SOURCES USING LUMINESCENCE
F21L,"LIGHTING DEVICES OR SYSTEMS THEREOF, BEING PORTABLE OR SPECIALLY ADAPTED FOR TRANSPORTATION"
F21S,NON-PORTABLE LIGHTING DEVICES
F21V,FUNCTIONAL FEATURES OR DETAILS OF LIGHTING DEVICES OR SYSTEMS THEREOF
F21W,USES OR APPLICATIONS OF LIGHTING DEVICES OR SYSTEMS
F21Y,FORM OR THE KIND OF THE LIGHT SOURCES OR OF THE COLOUR OF THE LIGHT EMITTED
F22B,METHODS OF STEAM GENERATION
F22D,"PREHEATING, OR ACCUMULATING PREHEATED, FEED-WATER"
F22G,SUPERHEATING OF STEAM
F23B,METHODS OR APPARATUS FOR COMBUSTION USING ONLY SOLID FUEL
F23C,"METHODS OR APPARATUS FOR COMBUSTION, USING FLUID, FUEL OR SOLID FUEL"
F23D,BURNERS
F23G,CREMATION FURNACES
F23H,GRATES
F23J,REMOVAL OR TREATMENT OF COMBUSTION PRODUCTS OR COMBUSTION RESIDUES
F23K,FEEDING FUEL TO COMBUSTION APPARATUS
F23L,AIR SUPPLY
F23M,"CASINGS, LININGS, WALLS OR DOORS SPECIALLY ADAPTED FOR COMBUSTION CHAMBERS"
F23N,REGULATING OR CONTROLLING COMBUSTION
F23Q,IGNITION
F23R,GENERATING COMBUSTION PRODUCTS OF HIGH PRESSURE OR HIGH VELOCITY
F24B,DOMESTIC STOVES OR RANGES FOR SOLID FUELS
F24C,OTHER DOMESTIC STOVES OR RANGES
F24D,"DOMESTIC- OR SPACE-HEATING SYSTEMS, e.g. CENTRAL HEATING SYSTEMS"
F24F,"AIR-CONDITIONING, AIR-HUMIDIFICATION, VENTILATION, USE OF AIR CURRENTS FOR SCREENING"
F24H,"FLUID HEATERS, e.g. WATER OR AIR HEATERS, HAVING HEAT GENERATING MEANS, IN GENERAL"
F24J,PRODUCING OR USE OF HEAT NOT OTHERWISE PROVIDED FOR
F24S,SOLAR HEAT COLLECTORS
F24T,GEOTHERMAL COLLECTORS
F24V,"COLLECTION, PRODUCTION OR USE OF HEAT NOT OTHERWISE PROVIDED FOR"
F25B,"REFRIGERATION MACHINES, PLANTS OR SYSTEMS"
F25C,"PRODUCING, WORKING OR HANDLING ICE"
F25D,REFRIGERATORS
F25J,"LIQUEFACTION, SOLIDIFICATION OR SEPARATION OF GASES OR GASEOUS"
F26B,DRYING SOLID MATERIALS OR OBJECTS BY REMOVING LIQUID THEREFROM
F27B,"FURNACES, KILNS, OVENS, OR RETORTS IN GENERAL"
F27D,"DETAILS OR ACCESSORIES OF FURNACES, KILNS, OVENS, OR RETORTS"
F27M,"INDEXING SCHEME RELATING TO ASPECTS OF THE CHARGES OR FURNACES, KILNS, OVENS OR RETORTS"
F28B,STEAM OR VAPOUR CONDENSERS
F28C,HEAT-EXCHANGE APPARATUS IN WHICH THE HEAT-EXCHANGE MEDIA COME INTO DIRECT CONTACT WITHOUT CHEMICAL INTERACTION
F28D,HEAT-EXCHANGE APPARATUS IN WHICH THE HEAT-EXCHANGE MEDIA DO NOT COME INTO DIRECT CONTACT
F28F,"DETAILS OF HEAT-EXCHANGE AND HEAT-TRANSFER APPARATUS, OF GENERAL APPLICATION"
F28G,CLEANING OF INTERNAL OR EXTERNAL SURFACES OF HEAT-EXCHANGE OR HEAT-TRANSFER CONDUITS
F41A,FUNCTIONAL FEATURES OR DETAILS COMMON TO BOTH SMALLARMS AND ORDNANCE
F41B,WEAPONS FOR PROJECTING MISSILES WITHOUT USE OF EXPLOSIVE OR COMBUSTIBLE PROPELLANT CHARGE
F41C,"SMALLARMS, e.g. PISTOLS, RIFLES"
F41F,"APPARATUS FOR LAUNCHING PROJECTILES OR MISSILES FROM BARRELS, e.g. CANNONS"
F41G,WEAPON SIGHTS
F41H,ARMOUR
F41J,TARGETS
F42B,"EXPLOSIVE CHARGES, e.g. FOR BLASTING, FIREWORKS, AMMUNITION"
F42C,AMMUNITION FUZES
F42D,BLASTING
G01B,"MEASURING LENGTH, THICKNESS OR SIMILAR LINEAR DIMENSIONS"
G01C,"MEASURING DISTANCES, LEVELS OR BEARINGS"
G01D,MEASURING NOT SPECIALLY ADAPTED FOR A SPECIFIC VARIABLE
G01F,"MEASURING VOLUME, VOLUME FLOW, MASS FLOW OR LIQUID LEVEL"
G01G,WEIGHING
G01H,"MEASUREMENT OF MECHANICAL VIBRATIONS OR ULTRASONIC, SONIC OR INFRASONIC WAVES"
G01J,"MEASUREMENT OF INTENSITY, VELOCITY, SPECTRAL CONTENT, POLARISATION OF INFRA-RED, VISIBLE OR ULTRA-VIOLET LIGHT"
G01K,MEASURING TEMPERATURE
G01L,"MEASURING FORCE, STRESS, TORQUE, WORK, MECHANICAL POWER, MECHANICAL EFFICIENCY, OR FLUID PRESSURE"
G01M,TESTING STATIC OR DYNAMIC BALANCE OF MACHINES OR STRUCTURES
G01N,INVESTIGATING OR ANALYSING MATERIALS BY DETERMINING THEIR CHEMICAL OR PHYSICAL PROPERTIES
G01P,"MEASURING LINEAR OR ANGULAR SPEED, ACCELERATION, DECELERATION, OR SHOCK"
G01Q,SCANNING-PROBE TECHNIQUES OR APPARATUS
G01R,MEASURING ELECTRIC VARIABLES
G01S,RADIO DIRECTION-FINDING
G01T,MEASUREMENT OF NUCLEAR OR X-RADIATION
G01V,GEOPHYSICS
G01W,METEOROLOGY
G02B,"OPTICAL ELEMENTS, SYSTEMS, OR APPARATUS"
G02C,SPECTACLES
G02F,"DEVICES OR ARRANGEMENTS, THE OPTICAL OPERATION OF WHICH IS MODIFIED BY CHANGING THE OPTICAL PROPERTIES"
G03B,APPARATUS OR ARRANGEMENTS FOR TAKING PHOTOGRAPHS OR FOR PROJECTING OR VIEWING THEM
G03C,PHOTOSENSITIVE MATERIALS FOR PHOTOGRAPHIC PURPOSES
G03D,APPARATUS FOR PROCESSING EXPOSED PHOTOGRAPHIC MATERIALS
G03F,PHOTOMECHANICAL PRODUCTION OF TEXTURED OR PATTERNED SURFACES
G03G,ELECTROGRAPHY
G03H,HOLOGRAPHIC PROCESSES OR APPARATUS
G04B,MECHANICALLY-DRIVEN CLOCKS OR WATCHES
G04C,ELECTROMECHANICAL CLOCKS OR WATCHES
G04D,APPARATUS OR TOOLS SPECIALLY DESIGNED FOR MAKING OR MAINTAINING CLOCKS OR WATCHES
G04F,TIME-INTERVAL MEASURING
G04G,ELECTRONIC TIME-PIECES
G04R,RADIO-CONTROLLED TIME-PIECES
G05B,CONTROL OR REGULATING SYSTEMS IN GENERAL
G05D,SYSTEMS FOR CONTROLLING OR REGULATING NON-ELECTRIC VARIABLES
G05F,SYSTEMS FOR REGULATING ELECTRIC OR MAGNETIC VARIABLES
G05G,CONTROL DEVICES OR SYSTEMS INSOFAR AS CHARACTERISED BY MECHANICAL FEATURES ONLY
G06C,DIGITAL COMPUTERS IN WHICH ALL THE COMPUTATION IS EFFECTED MECHANICALLY
G06D,DIGITAL FLUID-PRESSURE COMPUTING DEVICES
G06E,OPTICAL COMPUTING DEVICES
G06F,ELECTRIC DIGITAL DATA PROCESSING
G06G,ANALOGUE COMPUTERS
G06J,HYBRID COMPUTING ARRANGEMENTS
G06K,RECOGNITION OF DATA
G06M,COUNTING MECHANISMS
G06N,COMPUTER SYSTEMS BASED ON SPECIFIC COMPUTATIONAL MODELS
G06Q,DATA PROCESSING SYSTEMS OR METHODS
G06T,"IMAGE DATA PROCESSING OR GENERATION, IN GENERAL"
G07B,TICKET-ISSUING APPARATUS
G07C,TIME OR ATTENDANCE REGISTERS
G07D,HANDLING OF COINS OR OF PAPER CURRENCY OR SIMILAR VALUABLE PAPERS
G07F,COIN-FREED OR LIKE APPARATUS
G07G,"REGISTERING THE RECEIPT OF CASH, VALUABLES, OR TOKENS"
G08B,SIGNALLING OR CALLING SYSTEMS
G08C,"TRANSMISSION SYSTEMS FOR MEASURED VALUES, CONTROL OR SIMILAR SIGNALS"
G08G,TRAFFIC CONTROL SYSTEMS
G09B,EDUCATIONAL OR DEMONSTRATION APPLIANCES
G09C,CODING OR CIPHERING APPARATUS FOR CRYPTOGRAPHIC OR OTHER PURPOSES
G09D,RAILWAY OR LIKE TIME OR FARE TABLES
G09F,DISPLAYING
G09G,ARRANGEMENTS OR CIRCUITS FOR CONTROL OF INDICATING DEVICES
G10B,ORGANS
G10C,"PIANOS, HARPSICHORDS, SPINETS OR SIMILAR STRINGED MUSICAL INSTRUMENTS"
G10D,STRINGED MUSICAL INSTRUMENTS
G10F,AUTOMATIC MUSICAL INSTRUMENTS
G10G,AIDS FOR MUSIC
G10H,ELECTROPHONIC MUSICAL INSTRUMENTS
G10K,SOUND-PRODUCING DEVICES
G10L,SPEECH ANALYSIS OR SYNTHESIS
G11B,INFORMATION STORAGE BASED ON RELATIVE MOVEMENT BETWEEN RECORD CARRIER AND TRANSDUCER
G11C,STATIC STORES
G12B,"CONSTRUCTIONAL DETAILS OF INSTRUMENTS, OR COMPARABLE DETAILS OF OTHER APPARATUS"
G16H,"HEALTHCARE INFORMATICS, i.e. ICT"
G21B,FUSION REACTORS
G21C,NUCLEAR REACTORS
G21D,NUCLEAR POWER PLANT
G21F,"PROTECTION AGAINST X-RADIATION, GAMMA RADIATION, CORPUSCULAR RADIATION"
G21G,CONVERSION OF CHEMICAL ELEMENTS
G21H,OBTAINING ENERGY FROM RADIOACTIVE SOURCES
G21J,NUCLEAR EXPLOSIVES
G21K,TECHNIQUES FOR HANDLING PARTICLES OR IONISING RADIATION
G21Y,"NUCLEAR REACTORS, POWER PLANTS AND EXPLOSIVES, TO PROTECTION AGAINST RADIATION"
H01B,CABLES
H01C,RESISTORS
H01F,MAGNETS
H01G,CAPACITORS
H01H,ELECTRIC SWITCHES
H01J,ELECTRIC DISCHARGE TUBES OR DISCHARGE LAMPS
H01K,ELECTRIC INCANDESCENT LAMPS
H01L,SEMICONDUCTOR DEVICES
H01M,"PROCESSES OR MEANS, e.g. BATTERIES, FOR THE DIRECT CONVERSION OF CHEMICAL INTO ELECTRICAL ENERGY"
H01P,WAVEGUIDES
H01Q,"ANTENNAS, i.e. RADIO AERIALS"
H01R,LINE CONNECTORS
H01S,DEVICES USING STIMULATED EMISSION
H01T,SPARK GAPS
H02B,"BOARDS, SUBSTATIONS, OR SWITCHING ARRANGEMENTS FOR THE SUPPLY OR DISTRIBUTION OF ELECTRIC POWER"
H02G,"INSTALLATION OF ELECTRIC CABLES OR LINES, OR OF COMBINED OPTICAL AND ELECTRIC CABLES OR LINES"
H02H,EMERGENCY PROTECTIVE CIRCUIT ARRANGEMENTS
H02J,CIRCUIT ARRANGEMENTS OR SYSTEMS FOR SUPPLYING OR DISTRIBUTING ELECTRIC POWER
H02K,DYNAMO-ELECTRIC MACHINES
H02M,"APPARATUS FOR CONVERSION BETWEEN AC AND AC, BETWEEN AC AND DC, OR BETWEEN DC AND DC"
H02N,ELECTRIC MACHINES NOT OTHERWISE PROVIDED FOR
H02P,"CONTROL OR REGULATION OF ELECTRIC MOTORS, ELECTRIC GENERATORS OR DYNAMO-ELECTRIC CONVERTERS"
H02S,"GENERATION OF ELECTRIC POWER BY CONVERSION OF INFRA-RED RADIATION, VISIBLE LIGHT OR ULTRAVIOLET LIGHT"
H03B,GENERATION OF OSCILLATIONS BY CIRCUITS EMPLOYING ACTIVE ELEMENTS WHICH OPERATE IN A NON-SWITCHING MANNER
H03C,MODULATION
H03D,DEMODULATION OR TRANSFERENCE OF MODULATION FROM ONE CARRIER TO ANOTHER
H03F,AMPLIFIERS
H03G,CONTROL OF AMPLIFICATION
H03H,"IMPEDANCE NETWORKS, e.g. RESONANT CIRCUITS"
H03J,TUNING RESONANT CIRCUITS
H03K,PULSE TECHNIQUE
H03L,ELECTRONIC OSCILLATIONS OR PULSES
H03M,CODING
H04B,TRANSMISSION
H04H,BROADCAST COMMUNICATION
H04J,MULTIPLEX COMMUNICATION
H04K,SECRET COMMUNICATION
H04L,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
H04M,TELEPHONIC COMMUNICATION
H04N,"PICTORIAL COMMUNICATION, e.g. TELEVISION"
H04Q,SELECTING
H04R,"LOUDSPEAKERS, MICROPHONES, GRAMOPHONE PICK-UPS OR LIKE ACOUSTIC ELECTROMECHANICAL TRANSDUCERS"
H04S,STEREOPHONIC SYSTEMS
H04T,INDEXING SCHEME RELATING TO STANDARDS FOR ELECTRIC COMMUNICATION TECHNIQUE
H04W,WIRELESS COMMUNICATIONS NETWORKS
H05B,ELECTRIC HEATING
H05C,ELECTRIC CIRCUITS OR APPARATUS
H05F,STATIC ELECTRICITY
H05G,X-RAY TECHNIQUE
H05H,PLASMA TECHNIQUE
H05K,PRINTED CIRCUITS
Y02A,ADAPTATION TO CLIMATE CHANGE
Y02B,CCM TECHNOLOGIES RELATED TO BUILDINGS
Y02C,"GREENHOUSE GASES [GHG] CAPTURE, STORAGE, SEQUESTRATION OR DISPOSAL OF"
Y02D,CCM TECHNOLOGIES IN ICT
Y02E,REDUCTION OF GREENHOUSE GAS [GHG] EMISSIONS
Y02P,CCM TECHNOLOGIES IN THE PRODUCTION GOODS
Y02T,CCM TECHNOLOGIES RELATED TO TRANSPORTATION
Y02W,CCM TECHNOLOGIES RELATED TO WASTEWATER TREATMENT OR WASTE MANAGEMENT
Y04S,"CCM TECHNOLOGIES RELATED TO POWER, SMART GRIDS"
Y10S,TECHNICAL SUBJECTS
Y10T,TECHNICAL SUBJECTS
